count,mean,p50,p99,ready_replicas,requested_replicas,slo_rate,slo_violations,timestamp,experiment
666,0.19703609640689407,0.12524545850010327,0.8082692782497817,2,2,0.07957957957957958,53,1781082153.402773,hpa_70
6233,0.1793747813181469,0.11790690199995879,0.8640395019598526,2,2,0.05679448098828815,354,1781082158.4028435,hpa_70
6232,0.17935867727166374,0.11791267950002293,0.8640988721798453,2,2,0.05680359435173299,354,1781082165.8352299,hpa_70
6243,0.17922882694938488,0.11787914900014584,0.8634457997598833,2,2,0.05670350792888035,354,1781082170.8352938,hpa_70
6255,0.1790094586673075,0.11775401199975022,0.8627333571199235,2,2,0.056594724220623505,354,1781082175.8353677,hpa_70
6254,0.17904074689271016,0.1177579164996132,0.8627927273399215,2,2,0.05660377358490566,354,1781082180.8354058,hpa_70
6254,0.1790340898367455,0.1177579164996132,0.8627927273399215,2,2,0.05660377358490566,354,1781082185.83548,hpa_70
663,0.1976758104192907,0.12538536100055353,0.8083439234997968,2,2,0.07993966817496229,53,1781082190.835534,hpa_70
6258,0.17891407251534241,0.11769149399970047,0.8625552464599349,2,2,0.05656759348034516,354,1781082195.8356385,hpa_70
6253,0.17902366265872538,0.11776182099947619,0.8628520975599141,2,2,0.056612825843595074,354,1781082203.2476373,hpa_70
6250,0.17904115927776146,0.11780098950021056,0.8630302082199082,2,2,0.05664,354,1781082208.2477093,hpa_70
6254,0.17893256257051615,0.1177579164996132,0.8627927273399215,2,2,0.05660377358490566,354,1781082213.247752,hpa_70
6249,0.1790531798519767,0.11782671000037226,0.8630895784399008,2,2,0.056649063850216036,354,1781082218.2478077,hpa_70
6245,0.1791945263798241,0.11782757000037236,0.8633270593198874,2,2,0.0566853482786229,354,1781082223.2479188,hpa_70
6243,0.1792091810280314,0.11785554800007958,0.8634457997598833,2,2,0.05670350792888035,354,1781082228.2479937,hpa_70
659,0.19858508803336367,0.12595961699935287,0.808443450499817,2,2,0.08042488619119878,53,1781082235.6278095,hpa_70
6240,0.179350805154648,0.11789115600004152,0.863623910419872,2,2,0.05673076923076923,354,1781082240.627896,hpa_70
658,0.19874673176897573,0.1260173739997299,0.8084683322498221,2,2,0.08054711246200608,53,1781082245.6279495,hpa_70
1813,0.1832258871014849,0.11936268199951883,0.8583488049599681,2,2,0.06453392167677882,117,1781082250.6279798,hpa_70
6237,0.17941256931537639,0.11790233100055048,0.863802021079866,2,2,0.05675805675805676,354,1781082255.628049,hpa_70
6229,0.17948144558259815,0.11791845700008707,0.8642769828398392,2,2,0.056830951998715684,354,1781082260.628135,hpa_70
6220,0.17962088425450273,0.11796146500000759,0.8648113148198051,2,2,0.05691318327974276,354,1781082265.6285622,hpa_70
268,0.20270487203358462,0.12327134549923358,0.9226997864798148,2,2,0.09328358208955224,25,1781082272.9997015,hpa_70
6208,0.17984401018540758,0.11805271349976465,0.8655237574597703,2,2,0.05702319587628866,354,1781082277.999771,hpa_70
1814,0.1832799735837898,0.1193627714997092,0.858263635789971,2,2,0.06449834619625137,117,1781082282.9999113,hpa_70
6205,0.17979412100161393,0.11796931099979702,0.8657018681197589,2,2,0.05705076551168413,354,1781082287.99998,hpa_70
6125,0.18013951133665576,0.11796931099979702,0.8664773613597937,2,2,0.05763265306122449,353,1781082293.0000443,hpa_70
6033,0.1797787614150536,0.11750182499963557,0.8677653771995397,2,2,0.057848499917122494,349,1781082298.0001633,hpa_70
5882,0.17910434679735177,0.11645921900026224,0.8685550342902569,2,2,0.058313498809928595,343,1781082305.4054356,hpa_70
5778,0.17812924974368616,0.11572546149955087,0.8685679499302204,2,2,0.058151609553478714,336,1781082310.4055214,hpa_70
619,0.19668301312922648,0.12371256400001585,0.8094387205000204,2,2,0.08077544426494346,50,1781082315.4055953,hpa_70
5639,0.17384738482124848,0.11302072299986321,0.8563288411401112,2,2,0.05444227699946799,307,1781082320.4056633,hpa_70
1663,0.17496260297233646,0.11376876600024843,0.8942931102401042,2,2,0.06133493686109441,102,1781082325.4057255,hpa_70
5461,0.16896773429409032,0.10986085100012133,0.8480140293999279,2,2,0.04980772752243179,272,1781082330.4058104,hpa_70
5356,0.16571805704593245,0.10852543649980362,0.8406138952999753,2,2,0.04873039581777446,261,1781082335.4059565,hpa_70
5205,0.16026660412949578,0.10651313499965909,0.8362572901602472,2,2,0.04418828049951969,230,1781082342.7776427,hpa_70
5126,0.15692718985349666,0.10523625799987713,0.8188801170001625,2,2,0.041357783847054234,212,1781082347.7777064,hpa_70
5068,0.1546530191318117,0.10393870049983889,0.814566853670276,2,2,0.03946329913180742,200,1781082352.7777617,hpa_70
4960,0.15078621909818968,0.10205730349980513,0.8149018638303368,2,2,0.03588709677419355,178,1781082357.7778156,hpa_70
4864,0.14741359248170743,0.10049294300006295,0.7928727854194669,2,2,0.03330592105263158,162,1781082362.7778466,hpa_70
4776,0.14427347619975403,0.09894347850058693,0.7871160429997417,2,2,0.030360134003350085,145,1781082367.7779872,hpa_70
184,0.14917525682610333,0.0953881705004278,0.9694632235698463,2,2,0.03804347826086957,7,1781082375.0859382,hpa_70
4538,0.13633679056787926,0.09529714550035351,0.7564595120402198,2,2,0.02600264433671221,118,1781082380.0861967,hpa_70
4499,0.13265829156968978,0.09437061799962976,0.6996841042200486,2,2,0.021782618359635474,98,1781082385.0862687,hpa_70
4399,0.12802418706638555,0.0922531969999909,0.6854657126600546,2,2,0.01932257331211639,85,1781082390.0864806,hpa_70
1263,0.12203659661124867,0.08887955999944097,0.5905108471798062,2,2,0.01979414093428345,25,1781082395.0865529,hpa_70
4226,0.12224386482087742,0.08875881099993421,0.6053855237501011,2,2,0.017037387600567912,72,1781082400.0866408,hpa_70
1194,0.11695086034925413,0.08333067549983753,0.6221104334599201,2,2,0.019262981574539362,23,1781082407.4255526,hpa_70
3992,0.11708720670566812,0.084629598000447,0.6283049128693385,2,2,0.017284569138276553,69,1781082412.425618,hpa_70
383,0.1264221633054797,0.08615926299989951,0.8078462884996952,2,2,0.02610966057441253,10,1781082417.4256966,hpa_70
3847,0.11361860556044599,0.0805320989993561,0.6638203540400892,2,2,0.017676111255523784,68,1781082422.4257638,hpa_70
3751,0.11092557200347497,0.07841676200041547,0.679351047000182,2,2,0.01812849906691549,68,1781082427.4257884,hpa_70
3751,0.11092557200347497,0.07841676200041547,0.679351047000182,2,2,0.01812849906691549,68,1781082427.4257884,hpa_70
1116,0.1263091950725915,0.07614804649983853,0.887901890200281,2,2,0.03494623655913978,39,1781082437.4260154,hpa_70
1116,0.1263091950725915,0.07614804649983853,0.887901890200281,2,2,0.03494623655913978,39,1781082437.4260154,hpa_70
369,0.2927249541490466,0.08599048700034473,2.6133535907599796,2,2,0.13008130081300814,48,1781082449.1544013,hpa_70
369,0.2927249541490466,0.08599048700034473,2.6133535907599796,2,2,0.13008130081300814,48,1781082449.1544013,hpa_70
,,,,2,2,,,1781082459.154795,hpa_70
,,,,2,2,,,1781082459.154795,hpa_70
,,,,2,2,,,1781082464.1549342,hpa_70
,,,,2,2,,,1781082469.1550379,hpa_70
,,,,2,4,,,1781082481.9107575,hpa_70
,,,,2,4,,,1781082486.9109106,hpa_70
,,,,4,4,,,1781082491.9113734,hpa_70
,,,,4,5,,,1781082496.911461,hpa_70
,,,,4,5,,,1781082496.911461,hpa_70
,,,,4,5,,,1781082501.911528,hpa_70
,,,,5,5,,,1781082512.147116,hpa_70
457,0.8201447053041618,0.17864340100004483,4.284365704559823,5,5,0.4223194748358862,193,1781082517.1471639,hpa_70
,,,,5,5,,,1781082522.1472437,hpa_70
,,,,5,5,,,1781082527.14734,hpa_70
,,,,5,5,,,1781082532.1474333,hpa_70
,,,,5,5,,,1781082537.1475399,hpa_70
,,,,5,5,,,1781082542.1476235,hpa_70
,,,,5,5,,,1781082549.5233388,hpa_70
,,,,5,5,,,1781082554.523416,hpa_70
,,,,5,5,,,1781082559.5235064,hpa_70
,,,,5,5,,,1781082564.5236065,hpa_70
,,,,5,5,,,1781082569.5237174,hpa_70
,,,,5,5,,,1781082574.5238004,hpa_70
1450,0.6635519974027594,0.28665594750009404,3.983821605509556,5,5,0.42689655172413793,619,1781082581.8654876,hpa_70
,,,,5,5,,,1781082586.865573,hpa_70
,,,,5,5,,,1781082591.865671,hpa_70
,,,,5,5,,,1781082596.86575,hpa_70
,,,,5,5,,,1781082601.8658264,hpa_70
,,,,5,10,,,1781082606.8659718,hpa_70
,,,,5,10,,,1781082611.866083,hpa_70
,,,,5,10,,,1781082619.2152047,hpa_70
,,,,10,10,,,1781082624.2152798,hpa_70
1648,0.696331951973305,0.40394413799958784,3.9915832337501977,10,10,0.46480582524271846,766,1781082629.2153547,hpa_70
,,,,10,10,,,1781082634.2154274,hpa_70
,,,,10,10,,,1781082639.2155178,hpa_70
,,,,10,10,,,1781082644.2155948,hpa_70
1697,0.6952424934566929,0.41115785200054233,3.9883023529998898,10,10,0.4661166764879199,791,1781082651.56263,hpa_70
4233,0.417116782381762,0.15801426300004096,3.484330416480413,10,10,0.2603354594849988,1102,1781082656.562856,hpa_70
4290,0.4130640932205124,0.15126874849966043,3.4712019992099084,10,10,0.2568764568764569,1102,1781082661.5629268,hpa_70
4314,0.4113439695526189,0.14802029700013009,3.460184076769812,10,10,0.2554473806212332,1102,1781082666.563049,hpa_70
1748,0.6787508880097287,0.38658232200032216,3.986265408399813,10,10,0.4525171624713959,791,1781082671.5632355,hpa_70
4348,0.4087050394385906,0.14360948700004883,3.437994190629799,10,10,0.2534498620055198,1102,1781082676.5632846,hpa_70
1749,0.6784291241961159,0.38636278600006335,3.986227767599812,10,10,0.45225843339050886,791,1781082683.9148045,hpa_70
4331,0.41036472833063825,0.1455808190003154,3.4490891336998057,10,10,0.2544447009928423,1102,1781082688.9148872,hpa_70
1750,0.6782431905577193,0.38562426399994365,3.9861901267998108,10,10,0.452,791,1781082693.914945,hpa_70
1761,0.6743948188421403,0.37137821000033,3.985776077999799,10,10,0.4491766042021579,791,1781082698.9150355,hpa_70
1769,0.6716379713917516,0.36409948599975905,3.98547495159979,10,10,0.44714527981910684,791,1781082703.9151187,hpa_70
460,0.9165669633456575,0.6797382904996994,4.326606713020216,10,10,0.5956521739130435,274,1781082708.91519,hpa_70
1791,0.6640187192004509,0.3479518359999929,3.9846468539997657,10,10,0.4416527079843663,791,1781082713.9152656,hpa_70
4472,0.39950344989713504,0.13343290300053923,3.394470912929946,10,10,0.2464221824686941,1102,1781082721.2653732,hpa_70
4493,0.3979596048081431,0.13224658299986913,3.391828710359986,10,10,0.2452704206543512,1102,1781082726.2654448,hpa_70
4513,0.3964256945322373,0.13115940900024725,3.3875477425599123,10,10,0.24418346997562598,1102,1781082731.265535,hpa_70
4536,0.394662270821426,0.12982670700057497,3.381271781549721,10,10,0.2429453262786596,1102,1781082736.2656193,hpa_70
1839,0.648203258257754,0.3135309449999113,3.983922365619601,10,10,0.4301250679717238,791,1781082741.2656934,hpa_70
4592,0.390485821519379,0.1270708619999823,3.3659911808293,10,10,0.23998257839721254,1102,1781082746.2657757,hpa_70
4609,0.38925928414037514,0.12614144100007252,3.361049765439241,10,10,0.23909741809503146,1102,1781082753.6176822,hpa_70
4609,0.387406432082011,0.1254649700003938,3.361049765439241,10,10,0.23757865046647864,1095,1781082758.6178067,hpa_70
4606,0.3876550559954388,0.12560164099977555,3.361981867149228,10,10,0.23773339122883197,1095,1781082763.6178823,hpa_70
4608,0.38744817117621344,0.12550891399996544,3.3613604660092458,10,10,0.23763020833333334,1095,1781082768.617967,hpa_70
4612,0.38716174730723996,0.125303317000089,3.360117663729253,10,10,0.23742411101474414,1095,1781082773.6180499,hpa_70
1885,0.6333078305633945,0.2902704329999324,3.9835010051594146,10,10,0.41909814323607425,790,1781082778.6181328,hpa_70
4620,0.38663711335649265,0.12507730149991403,3.357632059169267,10,10,0.237012987012987,1095,1781082783.61821,hpa_70
